Rank,City,Average House Price,Average Rent,Region in the US,Median Income
48,"Providence, RI","$428,600","$1,814",New England,"$57,870"
49,"Nashville, TN","$418,100","$1,770",South,"$59,510"
50,"Charlotte, NC","$411,500","$1,697",South,"$77,340"
51,"Fresno, CA","$405,600","$1,701",West,"$58,780"
52,"Fresno, CA","$405,600","$1,701",West,"$57,850"
53,"Virginia Beach, VA","$404,100","$1,665",South,"$59,430"
54,"Tacoma, WA","$402,000","$1,705",West,"$57,600"
55,"Aurora, CO","$401,700","$1,686",West,"$58,750"
56,"Aurora, CO","$401,700","$1,686",West,"$57,770"
57,"St. Paul, MN","$394,200","$1,719",Midwest,"$57,880"
58,"Stockton, CA","$387,900","$1,656",West,"$57,910"
59,"Hialeah, FL","$365,900","$1,675",South,"$57,830"
60,"Mesa, AZ","$362,300","$1,635",West,"$58,770"
61,"Arlington, TX","$352,900","$1,658",South,"$58,850"
62,"Minneapolis, MN","$348,200","$1,567",Midwest,"$78,780"
63,"Norfolk, VA","$344,300","$1,656",South,"$57,840"
64,"Garland, TX","$342,500","$1,606",South,"$57,800"
65,"Fort Worth, TX","$332,700","$1,564",South,"$59,320"
66,"Spokane, WA","$326,300","$1,644",West,"$57,620"
67,"Lexington-Fayette, KY","$319,500","$1,535",Midwest,"$58,710"
68,"New Haven, CT","$319,100","$1,603",New England,"$57,690"
69,"Worcester, MA","$319,000","$1,599",New England,"$57,680"
70,"Jacksonville, FL","$317,300","$1,547",South,"$59,500"
71,"Jacksonville, FL","$317,300","$1,547",South,"$57,900"
72,"San Antonio, TX","$315,600","$1,467",South,"$60,460"
73,"Albuquerque, NM","$313,100","$1,513",West,"$59,210"
74,"Columbus, OH","$312,900","$1,527",Midwest,"$59,330"
75,"Indianapolis, IN","$310,800","$1,516",Midwest,"$60,430"
76,"Kansas City, MO","$310,100","$1,504",Midwest,"$60,400"
77,"Greensboro, NC","$293,500","$1,489",South,"$57,930"
78,"Milwaukee, WI","$292,500","$1,472",Midwest,"$59,790"
79,"Louisville, KY","$291,200","$1,467",Midwest,"$59,600"
80,"Corpus Christi, TX","$284,400","$1,444",South,"$58,720"
81,"Cincinnati, OH","$284,100","$1,416",Midwest,"$60,710"
82,"Bridgeport, CT","$284,000","$1,479",New England,"$57,720"
83,"Des Moines, IA","$272,500","$1,424",Midwest,"$57,670"
84,"Memphis, TN","$272,400","$1,389",South,"$59,800"
85,"Allentown, PA","$270,000","$1,399",Mid Atlantic,"$57,640"
86,"St. Louis, MO","$269,500","$1,296",Midwest,"$61,940"
87,"Grand Rapids, MI","$268,900","$1,399",Midwest,"$57,660"
88,"Omaha, NE","$267,300","$1,374",Midwest,"$59,100"
89,"Pittsburgh, PA","$266,200","$1,389",Mid Atlantic,"$60,800"
90,"Springfield, MA","$265,000","$1,358",New England,"$57,740"
91,"Rochester, NY","$263,300","$1,351",Northeast,"$57,920"
92,"Beaumont, TX","$249,200","$1,325",South,"$57,650"
93,"Tulsa, OK","$247,500","$1,333",South,"$59,010"
94,"Oklahoma City, OK","$245,300","$1,329",South,"$59,490"
95,"Wichita, KS","$243,700","$1,309",Midwest,"$58,930"
96,"Toledo, OH","$243,400","$1,311",Midwest,"$57,930"
97,"Dayton, OH","$233,000","$1,242",Midwest,"$57,730"
98,"Buffalo, NY","$223,900","$1,199",Northeast,"$57,890"
99,"Akron, OH","$223,100","$1,190",Midwest,"$57,750"
100,"Fort Wayne, IN","$221,200","$1,163",Midwest,"$57,760"
