year,gross,popularity,imdb_score,vote_average,genre
1964,62240373,23.9,7.2,7.3,Comedy
1969,69688384,24.5,6.1,7.4,Comedy
1970,5364650,2.5,6.2,6.1,Comedy
1972,180483,4.6,6.1,6.2,Comedy
1973,114762794,17.4,7.3,7.3,Comedy
1974,71375345,29.8,7.1,7.1,Comedy
1975,41727835,35.6,7.0,7.2,Comedy
1976,26000610,72.2,4.1,7.5,Comedy
1977,85911262,35.9,5.2,7.8,Comedy
1978,141600000,17.3,7.6,7.0,Comedy
1979,76657000,10.6,7.7,7.0,Comedy
1980,42921005,26.0,6.5,6.7,Comedy
1981,46522028,11.1,6.1,6.0,Comedy
1982,53609384,16.9,6.4,6.7,Comedy
1983,74639566,28.4,6.8,7.1,Comedy
1984,36062336,18.9,5.7,6.4,Comedy
1985,67075997,25.2,6.8,6.3,Comedy
1986,45485767,18.1,6.1,6.2,Comedy
1987,95692594,17.3,6.6,6.1,Comedy
1988,59146918,15.8,6.4,6.1,Comedy
1989,69272520,18.1,6.7,6.6,Comedy
1990,88190118,17.5,6.6,6.5,Comedy
1991,87929436,18.6,6.2,6.0,Comedy
1992,90872014,36.5,6.8,6.5,Comedy
1993,64346590,17.6,6.6,6.1,Comedy
1994,48626114,23.2,6.2,6.2,Comedy
1995,68693770,15.3,6.3,6.2,Comedy
1996,41943449,11.3,6.3,6.0,Comedy
1997,39056561,12.5,6.3,6.1,Comedy
1998,52228328,12.8,6.4,6.1,Comedy
1999,46768213,12.4,6.2,5.9,Comedy
2000,46653961,14.2,6.1,5.8,Comedy
2001,43225207,14.2,6.0,5.8,Comedy
2002,49674341,14.4,6.0,5.8,Comedy
2003,49375068,15.8,6.0,5.6,Comedy
2004,54335635,16.4,6.1,5.8,Comedy
2005,47029003,14.7,6.1,5.9,Comedy
2006,56035740,15.9,6.2,6.0,Comedy
2007,57835182,15.9,6.3,6.0,Comedy
2008,60496717,18.6,6.1,5.9,Comedy
2009,51573395,19.7,6.1,6.0,Comedy
2010,59922630,20.5,6.2,6.0,Comedy
2011,70357854,22.0,6.3,6.0,Comedy
2012,65005722,25.8,6.3,6.0,Comedy
2013,67108561,29.9,6.4,6.2,Comedy
2014,77858283,39.7,6.3,6.2,Comedy
2015,82861473,56.9,6.5,6.2,Comedy
2016,92779962,52.5,6.1,5.7,Comedy
2017,292979556,0.7,8.3,7.4,Comedy
1929,9950,1.8,8.0,7.6,Crime
1947,7927,8.1,7.7,7.2,Crime
1948,90356857,5.3,7.1,7.3,Crime
1954,9600000,16.0,8.2,8.0,Crime
1961,43650000,23.4,7.6,7.0,Crime
1962,8326035,11.7,5.5,7.4,Crime
1963,46300000,14.6,7.6,7.0,Crime
1968,1987287,8.3,6.9,7.0,Crime
1969,26893,3.7,7.2,6.7,Crime
1971,15180000,0.1,5.5,4.6,Crime
1972,67141796,53.8,6.8,7.1,Crime
1973,53577548,18.7,7.5,7.4,Crime
1974,32813017,68.0,7.2,7.3,Crime
1975,82226474,6.5,5.6,6.7,Crime
1977,77679638,3.9,7.5,6.1,Crime
1979,36500000,26.4,7.6,7.2,Crime
1980,20842254,25.2,6.9,7.3,Crime
1981,47230200,14.2,7.1,7.0,Crime
1982,8326035,3.7,5.5,6.8,Crime
1983,35150000,41.8,7.8,7.4,Crime
1984,22878749,17.8,5.1,6.6,Crime
1985,99549868,12.8,6.7,6.4,Crime
1986,17923936,12.0,5.5,5.8,Crime
1987,84104109,24.7,7.1,6.4,Crime
1988,43989493,10.9,6.3,6.2,Crime
1989,44545169,13.8,6.4,6.2,Crime
1990,70079871,30.9,7.0,6.7,Crime
1991,50420099,15.8,6.7,6.5,Crime
1992,25498311,17.6,6.8,6.4,Crime
1993,45427349,16.9,6.8,6.1,Crime
1994,43421736,25.1,6.4,6.1,Crime
1995,35378039,20.3,6.6,6.3,Crime
1996,31811976,11.5,6.3,6.0,Crime
1997,37036669,15.6,6.7,6.4,Crime
1998,33454643,16.7,6.9,6.5,Crime
1999,53590315,16.6,6.6,6.4,Crime
2000,33151705,16.1,6.2,6.1,Crime
2001,41989512,14.0,6.4,6.1,Crime
2002,34653639,17.1,6.5,6.3,Crime
2003,44860289,15.4,6.3,5.9,Crime
2004,29053348,19.8,6.4,6.3,Crime
2005,35226815,17.8,6.5,6.1,Crime
2006,35285171,17.7,6.6,6.3,Crime
2007,32744483,19.4,6.7,6.4,Crime
2008,27754233,16.1,6.5,6.1,Crime
2009,34319941,17.1,6.4,6.2,Crime
2010,29604199,18.9,6.5,6.2,Crime
2011,44430251,22.9,6.6,6.0,Crime
2012,45489924,27.3,6.7,6.3,Crime
2013,55913104,35.2,6.5,6.2,Crime
2014,48448184,38.7,6.8,5.9,Crime
2015,48085315,35.8,6.5,5.9,Crime
2016,50325102,44.6,6.7,6.4,Crime
1978,321952,3.3,8.2,7.9,Documentary
1989,6706368,3.3,7.5,7.4,Documentary
1994,7830611,9.2,8.3,7.7,Documentary
1997,617172,2.8,7.0,6.3,Documentary
1999,2047570,2.8,7.6,7.8,Documentary
2000,38168022,1.9,6.6,6.3,Documentary
2001,4024121,2.4,7.8,6.6,Documentary
2002,26236141,6.6,6.2,5.8,Documentary
2003,3763558,3.7,6.5,6.5,Documentary
2004,4533131,2.7,6.8,4.5,Documentary
2005,12840802,3.6,7.3,6.7,Documentary
2006,16911271,5.4,7.6,7.1,Documentary
2007,7319375,3.5,7.7,5.6,Documentary
2008,3848840,6.8,7.6,7.4,Documentary
2009,35203541,12.3,7.5,7.0,Documentary
2010,25227340,8.9,6.8,6.1,Documentary
2011,15866105,5.8,6.3,5.7,Documentary
2012,10294813,3.7,7.0,6.5,Documentary
2013,16584573,6.2,6.4,7.4,Documentary
2014,5858,0.5,7.1,6.8,Documentary
2015,42134,1.0,7.0,2.9,Documentary
1925,114968774,0.8,7.3,7.0,Drama
1927,26435,32.4,8.3,8.0,Drama
1929,9950,1.8,8.0,7.6,Drama
1936,163245,28.3,8.6,8.1,Drama
1938,34293771,0.5,5.5,4.8,Drama
1939,198655278,49.0,8.2,7.7,Drama
1942,102797150,47.7,7.4,6.8,Drama
1944,371897,0.5,6.9,6.0,Drama
1946,22025000,8.0,7.5,6.9,Drama
1947,7927,8.1,7.7,7.2,Drama
1950,85911262,1.7,5.2,7.3,Drama
1952,528972,9.0,7.8,6.6,Drama
1953,36000000,4.0,6.8,6.4,Drama
1954,4934530,27.9,8.4,8.1,Drama
1957,27200000,23.1,8.2,7.7,Drama
1961,43650000,23.4,7.6,7.0,Drama
1962,6000000,41.3,8.4,7.8,Drama
1963,57750000,13.2,7.0,6.7,Drama
1964,37750000,29.8,8.0,7.5,Drama
1965,94312095,17.9,7.5,7.1,Drama
1966,23091,88.4,6.2,8.1,Drama
1968,1987287,8.3,6.9,7.0,Drama
1969,21153639,14.6,7.4,6.9,Drama
1970,7191720,3.9,6.5,6.3,Drama
1971,21729410,2.6,6.7,6.0,Drama
1972,66676062,143.7,7.6,8.4,Drama
1973,68933161,18.9,7.5,7.2,Drama
1974,57300000,105.8,9.0,8.3,Drama
1976,96917897,17.2,7.7,7.7,Drama
1977,69324682,17.8,6.9,6.6,Drama
1978,9929000,5.3,8.0,6.6,Drama
1979,63457484,27.8,7.6,7.3,Drama
1980,116493019,14.1,7.2,6.6,Drama
1981,31018918,16.1,7.0,6.8,Drama
1982,55838015,10.0,7.5,6.4,Drama
1983,88803218,19.9,6.7,6.4,Drama
1984,42414285,16.6,6.9,6.5,Drama
1985,40678629,15.9,7.3,6.9,Drama
1986,57244266,24.4,6.6,6.2,Drama
1987,65355824,13.5,7.0,6.4,Drama
1988,52139996,14.7,7.0,6.4,Drama
1989,52989564,18.2,7.3,7.0,Drama
1990,60298368,28.1,7.2,6.9,Drama
1991,43088483,12.2,7.0,6.3,Drama
1992,51546979,20.0,7.1,6.7,Drama
1993,43151941,17.3,7.2,6.8,Drama
1994,64199744,30.2,7.1,6.7,Drama
1995,40471817,20.4,6.9,6.6,Drama
1996,34735096,12.3,6.5,6.2,Drama
1997,55181256,17.2,6.9,6.7,Drama
1998,42733519,15.9,6.9,6.5,Drama
1999,32726042,15.1,6.7,6.3,Drama
2000,37559310,13.4,6.6,6.2,Drama
2001,37590887,17.1,6.7,6.3,Drama
2002,36895680,14.8,6.7,6.4,Drama
2003,50253582,16.5,7.0,6.5,Drama
2004,26004520,16.4,6.9,6.4,Drama
2005,31425770,14.5,6.7,6.3,Drama
2006,27387416,16.2,6.8,6.5,Drama
2007,31857067,16.9,6.9,6.4,Drama
2008,37513844,20.2,6.7,6.3,Drama
2009,32948588,16.4,6.6,6.3,Drama
2010,28553628,18.1,6.6,6.3,Drama
2011,26238805,17.9,6.7,6.3,Drama
2012,42719679,24.2,6.7,6.2,Drama
2013,36147046,28.2,6.8,6.4,Drama
2014,46157715,43.7,6.7,6.1,Drama
2015,46208847,36.5,6.8,6.3,Drama
2016,62250840,29.4,6.9,6.2,Drama
1925,114968774,0.8,7.3,7.0,Family
1936,163245,28.3,8.6,8.1,Family
1937,184925485,80.2,7.7,6.9,Family
1939,22202612,67.4,8.1,7.4,Family
1940,72403614,39.4,7.4,7.0,Family
1942,102797150,47.7,7.4,6.8,Family
1950,85911262,1.7,5.2,7.3,Family
1961,31051126,2.9,6.7,6.8,Family
1964,87150000,40.4,7.8,7.4,Family
1965,163214286,38.0,8.0,7.4,Family
1969,69688384,24.5,6.1,7.4,Family
1971,50000000,7.6,8.0,7.4,Family
1973,69688384,4.5,6.1,7.2,Family
1974,39552600,2.7,6.1,6.1,Family
1975,82226474,6.5,5.6,6.7,Family
1976,26000610,72.2,4.1,7.5,Family
1977,74527537,22.5,5.6,7.6,Family
1978,13000000,2.8,5.2,5.9,Family
1979,76657000,10.6,7.7,7.0,Family
1981,49186871,10.9,5.2,6.5,Family
1982,434949459,56.1,7.9,7.3,Family
1984,69688384,28.5,6.1,6.9,Family
1985,42652003,36.6,6.8,5.9,Family
1986,198332128,67.7,6.5,7.7,Family
1987,145306985,21.2,7.1,6.7,Family
1988,135290278,24.7,7.6,7.0,Family
1989,106593296,19.6,7.4,7.0,Family
1990,177343675,2.2,6.7,7.1,Family
1991,119654900,33.6,6.7,6.6,Family
1992,137902514,60.2,7.0,6.6,Family
1993,62130099,14.8,5.9,6.0,Family
1994,86080838,36.1,5.4,6.2,Family
1995,150515549,23.6,6.3,6.4,Family
1996,82699123,14.8,6.3,5.8,Family
1997,52439573,22.5,6.0,6.1,Family
1998,99292902,15.9,6.4,5.8,Family
1999,86509493,15.6,6.0,5.7,Family
2000,75945691,15.0,6.2,5.9,Family
2001,92915497,29.0,6.0,6.1,Family
2002,101936968,29.2,6.3,6.2,Family
2003,130977376,17.2,6.3,5.9,Family
2004,110517846,23.5,6.2,5.9,Family
2005,88565397,23.3,6.1,6.0,Family
2006,88080981,25.4,6.0,6.0,Family
2007,119822369,30.2,6.5,6.0,Family
2008,104151580,22.3,6.4,6.1,Family
2009,105691821,36.9,6.4,6.2,Family
2010,143257493,32.7,6.4,5.9,Family
2011,115257157,24.6,6.5,6.1,Family
2012,144165954,38.7,7.0,6.1,Family
2013,137331901,35.3,6.4,6.1,Family
2014,156340775,50.8,7.0,6.6,Family
2015,141100992,92.4,6.6,6.4,Family
2016,199114041,41.4,6.8,5.7,Family
2017,292979556,0.7,8.3,7.4,Family
1925,114968774,0.8,7.3,7.0,Fantasy
1937,184925485,80.2,7.7,6.9,Fantasy
1939,22202612,67.4,8.1,7.4,Fantasy
1940,72403614,39.4,7.4,7.0,Fantasy
1964,51186774,32.2,7.0,7.3,Fantasy
1969,69688384,24.5,6.1,7.4,Fantasy
1971,8231,0.0,6.7,6.0,Fantasy
1972,134568845,13.2,6.7,6.6,Fantasy
1973,69688384,4.5,6.1,7.2,Fantasy
1975,1229197,64.8,8.3,7.8,Fantasy
1976,26000610,72.2,4.1,7.5,Fantasy
1977,63143812,9.1,6.1,7.4,Fantasy
1978,13000000,2.8,5.2,5.9,Fantasy
1980,110971583,35.9,7.5,7.0,Fantasy
1981,6000000,3.3,6.7,6.5,Fantasy
1982,45840841,28.5,6.5,6.6,Fantasy
1983,230674786,24.1,6.3,6.8,Fantasy
1984,51842647,28.4,6.1,6.4,Fantasy
1986,45010170,18.9,5.5,6.1,Fantasy
1987,63145318,20.1,6.9,6.6,Fantasy
1988,46334974,19.5,6.9,6.0,Fantasy
1989,120591029,34.4,7.0,6.6,Fantasy
1990,101644439,17.2,6.6,6.7,Fantasy
1991,88237155,19.4,6.1,6.0,Fantasy
1992,112816165,57.6,7.0,6.8,Fantasy
1993,30368897,20.1,6.1,6.0,Fantasy
1994,47379850,30.2,5.9,6.4,Fantasy
1995,113877311,21.1,6.1,6.1,Fantasy
1996,94033518,19.7,6.3,5.9,Fantasy
1997,74653898,25.2,6.3,6.1,Fantasy
1998,88995816,21.3,6.7,6.1,Fantasy
1999,83322852,20.6,6.4,6.2,Fantasy
2000,71315348,15.3,5.9,5.7,Fantasy
2001,94209447,33.4,6.2,6.2,Fantasy
2002,126406010,30.8,6.4,6.1,Fantasy
2003,145125296,32.8,6.5,5.9,Fantasy
2004,123530475,25.1,6.5,6.1,Fantasy
2005,119797706,25.5,6.0,5.9,Fantasy
2006,85456659,32.9,6.1,6.3,Fantasy
2007,99555462,32.1,6.3,6.1,Fantasy
2008,125351788,31.3,6.3,5.9,Fantasy
2009,104268083,35.9,6.2,6.1,Fantasy
2010,115208858,36.2,6.2,6.0,Fantasy
2011,106364970,32.2,6.1,5.9,Fantasy
2012,130782925,51.7,6.5,6.0,Fantasy
2013,118734638,42.4,6.4,6.1,Fantasy
2014,112858063,46.7,6.4,5.9,Fantasy
2015,107977870,48.8,6.6,6.3,Fantasy
2016,133721814,52.0,6.7,5.6,Fantasy
1947,7927,8.1,7.7,7.2,Film-Noir
1938,34293771,0.5,5.5,4.8,History
1939,198655278,49.0,8.2,7.7,History
1953,36000000,4.0,6.8,6.4,History
1962,6000000,41.3,8.4,7.8,History
1963,57750000,13.2,7.0,6.7,History
1965,8000000,3.0,6.6,6.5,History
1970,14500000,9.8,7.5,6.9,History
1977,50800000,20.3,7.4,6.9,History
1978,1000000,0.6,6.5,5.8,History
1983,21500000,17.6,7.9,7.3,History
1984,39000000,20.7,7.8,7.4,History
1987,24942013,12.5,7.6,7.2,History
1989,10161099,4.6,7.7,7.4,History
1991,87812616,27.8,7.4,7.0,History
1992,48169908,19.8,7.7,7.2,History
1993,54447401,46.8,8.1,7.4,History
1994,305070,3.6,6.4,6.2,History
1995,81061254,36.3,7.1,6.8,History
1996,18221935,5.9,6.4,6.2,History
1997,29203068,9.2,7.1,6.9,History
1998,12817798,7.7,6.4,6.1,History
1999,15408148,12.0,7.2,7.4,History
2000,73948544,21.0,7.2,6.8,History
2001,90110288,30.2,7.1,6.5,History
2002,29554616,13.1,7.2,6.8,History
2003,63174138,19.7,7.2,6.7,History
2004,20502212,15.4,7.2,6.5,History
2005,16646121,13.0,7.2,6.7,History
2006,22464011,18.0,7.2,6.7,History
2007,18969157,15.2,6.9,5.9,History
2008,17359958,19.6,7.3,7.1,History
2009,26824421,19.9,7.1,6.8,History
2010,52744980,23.2,7.1,6.6,History
2011,31648769,17.0,6.9,5.8,History
2012,63301795,24.4,7.8,6.8,History
2013,37115439,35.9,7.2,6.9,History
2014,66469521,26.6,6.4,6.3,History
2015,34826157,29.7,7.4,6.4,History
2016,15990788,18.6,6.8,6.2,History
1953,5000000,2.0,6.7,6.7,Horror
1960,32000000,93.1,8.5,8.2,Horror
1964,73548,4.5,6.1,7.2,Horror
1966,13782838,8.9,8.2,6.1,Horror
1972,180483,4.6,6.1,6.2,Horror
1973,41814863,47.6,5.1,7.5,Horror
1974,30859000,29.3,7.5,7.2,Horror
1975,20763013,50.2,2.8,7.5,Horror
1978,64564475,22.1,7.6,6.4,Horror
1979,77676775,50.6,6.2,7.4,Horror
1980,21378000,14.5,6.8,6.4,Horror
1981,24741952,14.2,6.5,6.4,Horror
1982,60700177,33.8,7.6,6.1,Horror
1983,65012000,8.5,6.2,5.5,Horror
1984,23069403,34.4,6.3,6.8,Horror
1985,26505000,21.6,7.5,5.7,Horror
1986,12909012,8.2,5.8,5.8,Horror
1987,47010427,20.6,6.4,6.2,Horror
1988,38264801,12.7,6.9,5.9,Horror
1989,28949341,11.0,6.9,5.6,Horror
1990,33184830,22.8,6.3,6.1,Horror
1991,82799646,17.5,6.8,6.6,Horror
1992,42315698,31.8,6.4,6.5,Horror
1993,65069140,8.9,6.2,7.1,Horror
1994,61677394,32.4,7.0,6.8,Horror
1995,36262992,10.1,6.7,5.3,Horror
1996,38442755,24.4,6.3,6.5,Horror
1997,46279500,23.8,5.8,5.9,Horror
1998,28750492,14.8,6.0,5.8,Horror
1999,35386500,13.7,6.0,5.8,Horror
2000,43098803,14.6,5.9,5.5,Horror
2001,28992919,16.8,5.8,5.8,Horror
2002,31146742,16.4,6.1,4.8,Horror
2003,35283315,22.2,5.9,5.6,Horror
2004,36838806,29.9,6.0,5.9,Horror
2005,34245271,19.3,5.4,5.5,Horror
2006,34060924,16.8,5.8,5.9,Horror
2007,40716383,23.6,6.1,6.0,Horror
2008,37041555,21.7,5.7,5.7,Horror
2009,31342808,19.2,6.2,5.7,Horror
2010,23633031,18.5,5.7,5.8,Horror
2011,26144408,18.8,5.5,5.5,Horror
2012,33036097,24.6,5.8,5.7,Horror
2013,53037166,35.4,6.1,5.8,Horror
2014,37223157,33.7,5.8,5.3,Horror
2015,30245493,29.8,5.7,5.3,Horror
2016,48250117,39.2,6.7,6.3,Horror
1929,2808000,1.0,6.3,5.0,Music
1933,2300000,1.9,7.7,6.1,Music
1935,3000000,3.9,7.8,7.4,Music
1937,184925485,80.2,7.7,6.9,Music
1939,22202612,67.4,8.1,7.4,Music
1940,72403614,39.4,7.4,7.0,Music
1948,2956000,0.9,7.1,6.6,Music
1950,85911262,1.7,5.2,7.3,Music
1959,25000000,39.3,8.3,8.0,Music
1961,43650000,23.4,7.6,7.0,Music
1964,58271668,30.5,7.8,7.4,Music
1965,163214286,38.0,8.0,7.4,Music
1970,7147669,2.8,6.4,6.2,Music
1971,50000000,7.6,8.0,7.4,Music
